priority,business,segment,phone,email_or_contact,public_source,fit_note,status
A,PCS Plumbing & Heating,Plumbing/HVAC,716-822-4302,ryan.mullen@pcsplumbing.com,https://pcsplumbing.com/contact,"Named marketing contact; office hours Mon-Fri; service/residential estimate operation makes response economics measurable",READY_FOR_PERSONALIZED_RESEARCH
A,Adema Heating & Air Conditioning,HVAC,716-834-7611,Contact form,https://www.ademaheating.com/contact-us/,"Office hours Mon-Fri 8-5 with emergency call-out; strong phone dependence",READY_FOR_PERSONALIZED_RESEARCH
A,Vastola Heating & Cooling,HVAC,716-827-8652,ContactUs@vastolaheating.com,https://vastolaheating.com/,"Independent regional HVAC company; 24/7 emergency service but office/showroom hours; high-ticket jobs",READY_FOR_PERSONALIZED_RESEARCH
A,JP Heating & Cooling LLC,HVAC,716-832-8200,Public phone,https://www.google.com/search?q=JP+Heating+%26+Cooling+Buffalo+NY,"Residential/light commercial; weekday operating hours; high average-ticket category",READY_FOR_PERSONALIZED_RESEARCH
A,Shotwell Plumbing LLC,Plumbing,716-877-1457,Public phone,https://www.google.com/search?q=Shotwell+Plumbing+Buffalo+NY,"Family-owned residential plumber; weekday hours; small review footprint suggests reachable decision-maker",READY_FOR_PERSONALIZED_RESEARCH
A,Hazlett Plumbing,Plumbing,716-919-4141,Public phone,https://www.google.com/search?q=Hazlett+Plumbing+Orchard+Park+NY,"Owner-led master plumber; broad WNY service area; high-value plumbing jobs",READY_FOR_PERSONALIZED_RESEARCH
A,Sullivan Heating & Cooling,HVAC,716-608-8139,Public phone,https://www.google.com/search?q=Sullivan+Heating+%26+Cooling+Depew+NY,"Family-owned; owner publicly identified; full-service HVAC and high-ticket replacements",READY_FOR_PERSONALIZED_RESEARCH
A,Premier Plumbing WNY,Plumbing,716-216-2484,Public phone,https://www.google.com/search?q=Premier+Plumbing+WNY,"Locally owned; broad service area; extended but not 24/7 hours; phone-led service",READY_FOR_PERSONALIZED_RESEARCH
B,Great Lakes Air / Solly Industries,HVAC,716-652-2010,sales@sollyindustries.com,https://greatlakes-air.com/contact/,"Explicit urgent-service workflow and published response targets; useful benchmark and possible workflow optimization prospect",BENCHMARK_THEN_QUALIFY
B,WorryFree Home Services,Plumbing/HVAC,716-764-9280,Public contact form,https://worryfreehomeservices.com/contact-us,"24-hour operation and multi-trade service; likely more mature intake but high lead value",QUALIFY_STACK_FIRST
B,716-PLUMBER,Plumbing/HVAC,716-758-6237,service@716-plumber.com,https://www.716-plumber.com/,"Phone/text/contact-form heavy and 24/7; likely substantial inbound lead volume",QUALIFY_STACK_FIRST
B,Cheektowaga Plumbers,Plumbing,716-671-3217,Public contact form,https://www.cheektowaga-plumbers.com/contact.html,"24/7 emergency and estimate form; phone-centric; independent/local positioning",QUALIFY_STACK_FIRST
C,Roy's Plumbing Heating Cooling & Electrical,Multi-trade,716-873-5000,info@justcallroys.com,https://www.justcallroys.com/contact-us/,"Large regional multi-trade company with 24/7 emergency service; likely mature intake; use as pricing/process benchmark before outreach",BENCHMARK_ONLY_UNTIL_GAP_FOUND
C,T-Mark Plumbing Heating Cooling & Electric,Multi-trade,716-249-0029,Public contact form,https://t-markplumbing.com/contact/,"Large regional provider with 24/7 service and financing; likely mature stack",BENCHMARK_ONLY_UNTIL_GAP_FOUND
C,Reimer Heating Cooling & Plumbing,Multi-trade,716-272-2371,Public contact form,https://reimerhvac.com/contact-us/,"Large multi-location provider with call center and 24/7 coverage; low-probability audit buyer unless specific leak is found",BENCHMARK_ONLY_UNTIL_GAP_FOUND
